Name,Organization,id,Alternate Name,Description,locations,address,url,email,status,active,interpretation_services,application_process,service_options,payment_options,taxonomy,phones,schedule,med_area,legal_area,cash_area,dv_area,foodstamp_area,details,service_area,metadata
Christa McAuliffe Middle,Lodi Unified,4894,,"Drive Thru Site
Children must be present in order for meals to be provided.
Meals will be provided based on the number of children present.",3880 Iron Canyon Cir,3880 Iron Canyon Cir,,,,,,,,Free,Prepared Meals,,4894,,,,,,,,
Clairmont Elementary,Lodi Unified,4895,,"Drive Thru Site
Children must be present in order for meals to be provided.
Meals will be provided based on the number of children present.",8282 Lemans Ave,8282 Lemans Ave,,,,,,,,Free,Prepared Meals,,4895,,,,,,,,
Corner Parking Lot,Lodi Unified,4896,,"Bus Route
Children must be present in order for meals to be provided.
Meals will be provided based on the number of children present.",3rd St & Hwy 88,3rd St & Hwy 88,,,,,,,,Free,Prepared Meals,,4896,,,,,,,,
Creekside Elementary,Lodi Unified,4897,,"Drive Thru Site
Children must be present in order for meals to be provided.
Meals will be provided based on the number of children present.",2515 Estate Dr,2515 Estate Dr,,,,,,,,Free,Prepared Meals,,,,,,,,,,
Delta Sierra Middle,Lodi Unified,4898,,"Drive Thru Site
Children must be present in order for meals to be provided.
Meals will be provided based on the number of children present.",2255 Wagner Heights Rd,2255 Wagner Heights Rd,,,,,,,,Free,Prepared Meals,,4898,,,,,,,,
Heritage Elementary,Lodi Unified,4899,,"Drive Thru Site
Children must be present in order for meals to be provided.
Meals will be provided based on the number of children present.",509 E Eden St,509 E Eden St,,,,,,,,Free,Prepared Meals,,4899,,,,,,,,
Houston School,Lodi Unified,4900,,"Bus Route
Children must be present in order for meals to be provided.
Meals will be provided based on the number of children present.",4600 Acampo Rd,4600 Acampo Rd,,,,,,,,Free,Prepared Meals,,4900,,,,,,,,
Live Oak Elementary,Lodi Unified,4901,,"Bus Route
Children must be present in order for meals to be provided.
Meals will be provided based on the number of children present.",5099 Bear Creek Rd,5099 Bear Creek Rd,,,,,,,,Free,Prepared Meals,,"49,015,211",,,,,,,,
Lockeford Elementary,Lodi Unified,4902,,"Drive Thru Site
Children must be present in order for meals to be provided.
Meals will be provided based on the number of children present.",19456 N Tully Rd,19456 N Tully Rd,,,,,,,,Free,Prepared Meals,,4902,,,,,,,,
Lodi High,Lodi Unified,4903,,"Drive Thru Site
Children must be present in order for meals to be provided.
Meals will be provided based on the number of children present.",3 S Pacific Ave,3 S Pacific Ave,,,,,,,,Free,Prepared Meals,,4903,,,,,,,,
Lodi Middle,Lodi Unified,4904,,"Drive Thru Site
Children must be present in order for meals to be provided.
Meals will be provided based on the number of children present.",945 S Ham Ln,945 S Ham Ln,,,,,,,,Free,Prepared Meals,,4904,,,,,,,,
Millswood Middle,Lodi Unified,4905,,"Drive Thru Site
Children must be present in order for meals to be provided.
Meals will be provided based on the number of children present.",233 N Mills Ave,233 N Mills Ave,,,,,,,,Free,Prepared Meals,,4905,,,,,,,,
Morada Middle,Lodi Unified,4906,,"Drive Thru Site
Children must be present in order for meals to be provided.
Meals will be provided based on the number of children present.",5001 E Eastview Dr,5001 E Eastview Dr,,,,,,,,Free,Prepared Meals,,4906,,,,,,,,
Paradise Point,Lodi Unified,4907,,"Bus Route
Children must be present in order for meals to be provided.
Meals will be provided based on the number of children present.",8090 N Rio Blanco Rd,8090 N Rio Blanco Rd,,,,,,,,Free,Prepared Meals,,4907,,,,,,,,
Parklane Elementary,Lodi Unified,4908,,"Drive Thru Site
Children must be present in order for meals to be provided.
Meals will be provided based on the number of children present.",8405 Tam O'Shanter Dr,8405 Tam O'Shanter Dr,,,,,,,,Free,Prepared Meals,,4908,,,,,,,,
Point Quest Education,Lodi Unified,4909,,"Bus Route
Children must be present in order for meals to be provided.
Meals will be provided based on the number of children present.",18051 N Ray Rd,18051 N Ray Rd,,,,,,,,Free,Prepared Meals,,4909,,,,,,,,
Ronald E. McNair High,Lodi Unified,4910,,"Drive Thru Site
Children must be present in order for meals to be provided.
Meals will be provided based on the number of children present.",9550 Ronald E. McNair Wy,9550 Ronald E. McNair Wy,,,,,,,,Free,Prepared Meals,,4910,,,,,,,,
Tokay High,Lodi Unified,4911,,"Drive Thru Site
Children must be present in order for meals to be provided.
Meals will be provided based on the number of children present.",1111 Century Blvd,1111 Century Blvd,,,,,,,,Free,Prepared Meals,,4911,,,,,,,,
Tower Park,Lodi Unified,4912,,"Bus Route
Children must be present in order for meals to be provided.
Meals will be provided based on the number of children present.",14900 W Hwy 12,14900 W Hwy 12,,,,,,,,Free,Prepared Meals,,4912,,,,,,,,
Turner School @ Tokay Colony,Lodi Unified,4913,,"Bus Route
Children must be present in order for meals to be provided.
Meals will be provided based on the number of children present.",13520 Live Oak Rd,13520 Live Oak Rd,,,,,,,,Free,Prepared Meals,,4913,,,,,,,,
Victor School,Lodi Unified,4914,,"Bus Route
Children must be present in order for meals to be provided.
Meals will be provided based on the number of children present.",17670 Bruella Rd,17670 Bruella Rd,,,,,,,,Free,Prepared Meals,,4914,,,,,,,,
Washington Elementary,Lodi Unified,4915,,"Drive Thru Site
Children must be present in order for meals to be provided.
Meals will be provided based on the number of children present.",831 W Lockeford St,831 W Lockeford St,,,,,,,,Free,Prepared Meals,,,,,,,,,,
August Knodt Elementary,Manteca Unified,4916,,Children must be present in order for meals to be provided.,3939 EWS Woods Blvd,3939 EWS Woods Blvd,,,,,,,,Free,Prepared Meals,,4916,,,,,,,,
Brock Elliott Elementary,Manteca Unified,4917,,Children must be present in order for meals to be provided.,1110 Stonum Ln,1110 Stonum Ln,,,,,,,,Free,Prepared Meals,,4917,,,,,,,,
East Union High School,Manteca Unified,4918,,Children must be present in order for meals to be provided.,1700 North Union Rd.,1700 North Union Rd.,,,,,,,,Free,Prepared Meals,,4918,,,,,,,,
French Camp Elementary,Manteca Unified,4919,,Children must be present in order for meals to be provided.,241 E 4th St.,241 E 4th St.,,,,,,,,Free,Prepared Meals,,4919,,,,,,,,
George Komure Elementary,Manteca Unified,4920,,Children must be present in order for meals to be provided.,Closed,Closed,,,,,,,,Free,Prepared Meals,,4920,,,,,,,,
George McParland Elementary,Manteca Unified,4921,,Children must be present in order for meals to be provided.,1601 Northgate Dr,1601 Northgate Dr,,,,,,,,Free,Prepared Meals,,4921,,,,,,,,
George McParland Annex,Manteca Unified,4922,,Children must be present in order for meals to be provided.,1370 London Ave.,1370 London Ave.,,,,,,,,Free,Prepared Meals,,4922,,,,,,,,
Golden West Elementary,Manteca Unified,4923,,Children must be present in order for meals to be provided.,1031 North Main,1031 North Main,,,,,,,,Free,Prepared Meals,,4923,,,,,,,,
Great Valley Elementary,Manteca Unified,4924,,Children must be present in order for meals to be provided.,4223 McDougald,4223 McDougald,,,,,,,,Free,Prepared Meals,,4924,,,,,,,,
Joseph Widmer Elementary,Manteca Unified,4925,,Children must be present in order for meals to be provided.,751 Stonebridge Lane,751 Stonebridge Lane,,,,,,,,Free,Prepared Meals,,4925,,,,,,,,
Joshua Cowell Elementary,Manteca Unified,4926,,Children must be present in order for meals to be provided.,740 Pestana Ave.,740 Pestana Ave.,,,,,,,,Free,Prepared Meals,,4926,,,,,,,,
Lathrop Elementary,Manteca Unified,4927,,Children must be present in order for meals to be provided.,15851 S. 5th St.,15851 S. 5th St.,,,,,,,,Free,Prepared Meals,,4927,,,,,,,,
Lathrop High School,Manteca Unified,4928,,Children must be present in order for meals to be provided.,647 Spartan Way,647 Spartan Way,,,,,,,,Free,Prepared Meals,,4928,,,,,,,,
Lincoln Elementary,Manteca Unified,4929,,Children must be present in order for meals to be provided.,165 S. Powers Ave.,165 S. Powers Ave.,,,,,,,,Free,Prepared Meals,,"49,294,986",,,,,,,,
Manteca Adult School,Manteca Unified,4930,,Children must be present in order for meals to be provided.,Closed,Closed,,,,,,,,Free,Prepared Meals,,4930,,,,,,,,
Manteca Community Day School,Manteca Unified,4931,,Children must be present in order for meals to be provided.,Closed,Closed,,,,,,,,Free,Prepared Meals,,4931,,,,,,,,
Manteca High School,Manteca Unified,4932,,Children must be present in order for meals to be provided.,450 E Yosemite Ave,450 E Yosemite Ave,,,,,,,,Free,Prepared Meals,,4932,,,,,,,,
Mossdale Elementary,Manteca Unified,4933,,Children must be present in order for meals to be provided.,455 Brookhurst Blvd.,455 Brookhurst Blvd.,,,,,,,,Free,Prepared Meals,,4933,,,,,,,,
Neil Hafley Elementary,Manteca Unified,4934,,Children must be present in order for meals to be provided.,849 Northgate Dr.,849 Northgate Dr.,,,,,,,,Free,Prepared Meals,,4934,,,,,,,,
New Haven Elementary,Manteca Unified,4935,,Children must be present in order for meals to be provided.,14600 Austin Rd.,14600 Austin Rd.,,,,,,,,Free,Prepared Meals,,4935,,,,,,,,
Nile Garden Elementary,Manteca Unified,4936,,Children must be present in order for meals to be provided.,5700 East Nile Ave.,5700 East Nile Ave.,,,,,,,,Free,Prepared Meals,,4936,,,,,,,,
Sequoia Elementary,Manteca Unified,4937,,Children must be present in order for meals to be provided.,745 Wawona St.,745 Wawona St.,,,,,,,,Free,Prepared Meals,,4937,,,,,,,,
Shasta Elementary,Manteca Unified,4938,,Children must be present in order for meals to be provided.,751 East Edison St.,751 East Edison St.,,,,,,,,Free,Prepared Meals,,4938,,,,,,,,
Sierra High School,Manteca Unified,4939,,Children must be present in order for meals to be provided.,1700 Thomas St.,1700 Thomas St.,,,,,,,,Free,Prepared Meals,,4939,,,,,,,,
Stella Brockman Elementary,Manteca Unified,4940,,Children must be present in order for meals to be provided.,763 Silverado Dr.,763 Silverado Dr.,,,,,,,,Free,Prepared Meals,,4940,,,,,,,,
Veritas Elementary,Manteca Unified,4941,,Children must be present in order for meals to be provided.,1600 Pagola Ave.,1600 Pagola Ave.,,,,,,,,Free,Prepared Meals,,4941,,,,,,,,
Walter Woodward Elementary,Manteca Unified,4942,,Children must be present in order for meals to be provided.,575 Tannehill Dr.,575 Tannehill Dr.,,,,,,,,Free,Prepared Meals,,4942,,,,,,,,
Weston Ranch High School,Manteca Unified,4943,,Children must be present in order for meals to be provided.,4606 McCuen Ave.,4606 McCuen Ave.,,,,,,,,Free,Prepared Meals,,4943,,,,,,,,
Artessi Camp 2,Manteca Unified,4944,,Children must be present in order for meals to be provided.,777 W. Matthews Rd.,777 W. Matthews Rd.,,,,,,,,Free,Prepared Meals,,4944,,,,,,,,
Artessi Camp 3,Manteca Unified,4945,,Children must be present in order for meals to be provided.,333 W. Matthews Rd.,333 W. Matthews Rd.,,,,,,,,Free,Prepared Meals,,4945,,,,,,,,
New Hope Elementary School,New Hope,4946,,Walk-up or drive-thru. No ID or paperwork required,Closed,Closed,,,,,,,,Free,Prepared Meals,,4946,,,,,,,,
Delta Bridges Charter School,New Jerusalem and Delta Charter,4947,,,Closed,Closed,,,,,,,,Free,Prepared Meals,,4947,,,,,,,,
New Jerusalem Elementary,New Jerusalem and Delta Charter,4948,,,Closed,Closed,,,,,,,,Free,Prepared Meals,,4948,,,,,,,,
Ripon Elementary (Cafeteria),Ripon Unified,4949,,"No service during spring break 4/6-4/13
Student must be present, no cost or paperwork",509 W Main St,509 W Main St,,,,,,,,Free,Prepared Meals,,4949,,,,,,,,
August Elementary,Stockton Unified,4950,,"Staff will ask the number of children you are picking up meals for,
Staff will place the meals at the end of a table or cart,
After the staff have moved to the opposite end of the table or cart, the parent/guardian can approach the table or cart and pick up the meals,
The parent/guardian should not touch the table.",2101 Sutro Ave.,2101 Sutro Ave.,,,,,,,,Free,Prepared Meals,,4950,,,,,,,,
Chavez High School,Stockton Unified,4951,,"Staff will ask the number of children you are picking up meals for,
Staff will place the meals at the end of a table or cart,
After the staff have moved to the opposite end of the table or cart, the parent/guardian can approach the table or cart and pick up the meals,
The parent/guardian should not touch the table.",2929 Windflower Lane.,2929 Windflower Lane.,,,,,,,,Free,Prepared Meals,,4951,,,,,,,,
Commodore Stockton Skills,Stockton Unified,4952,,"Staff will ask the number of children you are picking up meals for,
Staff will place the meals at the end of a table or cart,
After the staff have moved to the opposite end of the table or cart, the parent/guardian can approach the table or cart and pick up the meals,
The parent/guardian should not touch the table.",2725 Michigan Ave.,2725 Michigan Ave.,,,,,,,,Free,Prepared Meals,,4952,,,,,,,,
Edison High School,Stockton Unified,4953,,"Staff will ask the number of children you are picking up meals for,
Staff will place the meals at the end of a table or cart,
After the staff have moved to the opposite end of the table or cart, the parent/guardian can approach the table or cart and pick up the meals,
The parent/guardian should not touch the table.",100 W. Martin Luther King Jr. Blvd.,100 W. Martin Luther King Jr. Blvd.,,,,,,,,Free,Prepared Meals,,4953,,,,,,,,
El Dorado Elementary,Stockton Unified,4954,,"Staff will ask the number of children you are picking up meals for,
Staff will place the meals at the end of a table or cart,
After the staff have moved to the opposite end of the table or cart, the parent/guardian can approach the table or cart and pick up the meals,
The parent/guardian should not touch the table.",1540 N. Lincoln St.,1540 N. Lincoln St.,,,,,,,,Free,Prepared Meals,,4954,,,,,,,,
Elmwood Elementary,Stockton Unified,4955,,"Staff will ask the number of children you are picking up meals for,
Staff will place the meals at the end of a table or cart,
After the staff have moved to the opposite end of the table or cart, the parent/guardian can approach the table or cart and pick up the meals,
The parent/guardian should not touch the table.",840 S. Cardinal Ave,840 S. Cardinal Ave,,,,,,,,Free,Prepared Meals,,4955,,,,,,,,
Franklin High,Stockton Unified,4956,,"Staff will ask the number of children you are picking up meals for,
Staff will place the meals at the end of a table or cart,
After the staff have moved to the opposite end of the table or cart, the parent/guardian can approach the table or cart and pick up the meals,
The parent/guardian should not touch the table.",4600 E. Fremont St.,4600 E. Fremont St.,,,,,,,,Free,Prepared Meals,,,,,,,,,,
Fremont Elementary,Stockton Unified,4957,,"Staff will ask the number of children you are picking up meals for,
Staff will place the meals at the end of a table or cart,
After the staff have moved to the opposite end of the table or cart, the parent/guardian can approach the table or cart and pick up the meals,
The parent/guardian should not touch the table.",2021 E. Flora St.,2021 E. Flora St.,,,,,,,,Free,Prepared Meals,,4957,,,,,,,,
Hong Kingston Elementary,Stockton Unified,4958,,"Staff will ask the number of children you are picking up meals for,
Staff will place the meals at the end of a table or cart,
After the staff have moved to the opposite end of the table or cart, the parent/guardian can approach the table or cart and pick up the meals,
The parent/guardian should not touch the table.",6324 N. Alturas Ave.,6324 N. Alturas Ave.,,,,,,,,Free,Prepared Meals,,4958,,,,,,,,
Hamilton Elementary,Stockton Unified,4959,,"Staff will ask the number of children you are picking up meals for,
Staff will place the meals at the end of a table or cart,
After the staff have moved to the opposite end of the table or cart, the parent/guardian can approach the table or cart and pick up the meals,
The parent/guardian should not touch the table.",2245 11th St,2245 11th St,,,,,,,,Free,Prepared Meals,,4959,,,,,,,,
Kennedy Elementary,Stockton Unified,4960,,"Staff will ask the number of children you are picking up meals for,
Staff will place the meals at the end of a table or cart,
After the staff have moved to the opposite end of the table or cart, the parent/guardian can approach the table or cart and pick up the meals,
The parent/guardian should not touch the table.",630 Ponce de Leon Ave.,630 Ponce de Leon Ave.,,,,,,,,Free,Prepared Meals,,4960,,,,,,,,
King Elementary,Stockton Unified,4961,,"Staff will ask the number of children you are picking up meals for,
Staff will place the meals at the end of a table or cart,
After the staff have moved to the opposite end of the table or cart, the parent/guardian can approach the table or cart and pick up the meals,
The parent/guardian should not touch the table.",2640 E. Lafayette St.,2640 E. Lafayette St.,,,,,,,,Free,Prepared Meals,,,,,,,,,,
McKinley Elementary,Stockton Unified,4962,,"Staff will ask the number of children you are picking up meals for,
Staff will place the meals at the end of a table or cart,
After the staff have moved to the opposite end of the table or cart, the parent/guardian can approach the table or cart and pick up the meals,
The parent/guardian should not touch the table.",30 W 9th St,30 W 9th St,,,,,,,,Free,Prepared Meals,,"49,624,987",,,,,,,,
Montezuma Elementary,Stockton Unified,4963,,"Staff will ask the number of children you are picking up meals for,
Staff will place the meals at the end of a table or cart,
After the staff have moved to the opposite end of the table or cart, the parent/guardian can approach the table or cart and pick up the meals,
The parent/guardian should not touch the table.",2843 Farmington Rd.,2843 Farmington Rd.,,,,,,,,Free,Prepared Meals,,4963,,,,,,,,
Pittman Elementary,Stockton Unified,4964,,"Staff will ask the number of children you are picking up meals for,
Staff will place the meals at the end of a table or cart,
After the staff have moved to the opposite end of the table or cart, the parent/guardian can approach the table or cart and pick up the meals,
The parent/guardian should not touch the table.",701 E Park St,701 E Park St,,,,,,,,Free,Prepared Meals,,4964,,,,,,,,
San Joaquin Elementary,Stockton Unified,4965,,"Staff will ask the number of children you are picking up meals for,
Staff will place the meals at the end of a table or cart,
After the staff have moved to the opposite end of the table or cart, the parent/guardian can approach the table or cart and pick up the meals,
The parent/guardian should not touch the table.",2020 S. Fresno Ave.,2020 S. Fresno Ave.,,,,,,,,Free,Prepared Meals,,4965,,,,,,,,
Spanos Elementary,Stockton Unified,4966,,"Staff will ask the number of children you are picking up meals for,
Staff will place the meals at the end of a table or cart,
After the staff have moved to the opposite end of the table or cart, the parent/guardian can approach the table or cart and pick up the meals,
The parent/guardian should not touch the table.",536 S. California St.,536 S. California St.,,,,,,,,Free,Prepared Meals,,4966,,,,,,,,
Stagg High School,Stockton Unified,4967,,"Staff will ask the number of children you are picking up meals for,
Staff will place the meals at the end of a table or cart,
After the staff have moved to the opposite end of the table or cart, the parent/guardian can approach the table or cart and pick up the meals,
The parent/guardian should not touch the table.",1621 Brookside Rd.,1621 Brookside Rd.,,,,,,,,Free,Prepared Meals,,4967,,,,,,,,
Taft Elementary,Stockton Unified,4968,,"Staff will ask the number of children you are picking up meals for,
Staff will place the meals at the end of a table or cart,
After the staff have moved to the opposite end of the table or cart, the parent/guardian can approach the table or cart and pick up the meals,
The parent/guardian should not touch the table.",419 Downing Ave.,419 Downing Ave.,,,,,,,,Free,Prepared Meals,,4968,,,,,,,,
Van Buren Elementary,Stockton Unified,4969,,"Staff will ask the number of children you are picking up meals for,
Staff will place the meals at the end of a table or cart,
After the staff have moved to the opposite end of the table or cart, the parent/guardian can approach the table or cart and pick up the meals,
The parent/guardian should not touch the table.",1628 E. Tenth St.,1628 E. Tenth St.,,,,,,,,Free,Prepared Meals,,4969,,,,,,,,
Victory Elementary,Stockton Unified,4970,,"Staff will ask the number of children you are picking up meals for,
Staff will place the meals at the end of a table or cart,
After the staff have moved to the opposite end of the table or cart, the parent/guardian can approach the table or cart and pick up the meals,
The parent/guardian should not touch the table.",1838 W Rose St,1838 W Rose St,,,,,,,,Free,Prepared Meals,,4970,,,,,,,,
Central Elementary,Tracy Joint Unified,4971,,"Meals are also available for students in the Young Adult Program
No meals during spring break 4/10 - 4/17",200 W. Eaton Avenue,200 W. Eaton Avenue,,,,,,,,Free,Prepared Meals,,4971,,,,,,,,
Jacobson Elementary,Tracy Joint Unified,4972,,"Meals are also available for students in the Young Adult Program
No meals during spring break 4/10 - 4/17",1750 W Kavanagh Ave,1750 W Kavanagh Ave,,,,,,,,Free,Prepared Meals,,4972,,,,,,,,
Monte Vista Middle,Tracy Joint Unified,4973,,"Meals are also available for students in the Young Adult Program
No meals during spring break 4/10 - 4/17",751 W Lowell Ave,751 W Lowell Ave,,,,,,,,Free,Prepared Meals,,4973,,,,,,,,
North Elementary,Tracy Joint Unified,4974,,"Meals are also available for students in the Young Adult Program
No meals during spring break 4/10 - 4/17",2875 Holly Dr,2875 Holly Dr,,,,,,,,Free,Prepared Meals,,4974,,,,,,,,
South West Park Elementary,Tracy Joint Unified,4975,,"Meals are also available for students in the Young Adult Program
No meals during spring break 4/10 - 4/17",550 W Mt Diablo Ave,550 W Mt Diablo Ave,,,,,,,,Free,Prepared Meals,,4975,,,,,,,,
West High,Tracy Joint Unified,4976,,"Meals are also available for students in the Young Adult Program
No meals during spring break 4/10 - 4/17",1775 W Lowell Ave,1775 W Lowell Ave,,,,,,,,Free,Prepared Meals,,4976,,,,,,,,
Williams Middle,Tracy Joint Unified,4977,,"Meals are also available for students in the Young Adult Program
No meals during spring break 4/10 - 4/17",1600 Tennis Ln,1600 Tennis Ln,,,,,,,,Free,Prepared Meals,,4977,,,,,,,,
YMCA EPA,YMCA Silicon Valley,4978,,Lunch and Snack,550 Bell St,550 Bell St,,,,,,,,Free,Prepared Meals,,4978,,,,,,,,
Sequoia YMCA,YMCA Silicon Valley,4979,,Lunch and Snack,1445 Hudson St,1445 Hudson St,,,,,,,,Free,Prepared Meals,,4979,,,,,,,,
Pescadero Elementary School,San Mateo County Library,4980,,Lunch and Breakfast,620 North St,620 North St,,,,,,,,Free,Prepared Meals,,4980,,,,,,,,
Pescadero Middle School,San Mateo County Library,4981,,Lunch and Breakfast,360 Butano Cutoff,360 Butano Cutoff,,,,,,,,Free,Prepared Meals,,4981,,,,,,,,
Bayshore Elementary,Bayshore,4982,,Meal pick up will be available by The Garden.,155 Oriente St,155 Oriente St,,,,,,,,Free,Prepared Meals,,4982,,,,,,,,
Burlingame Intermediate,Burlingame Elementary,4983,,"In order to receive lunch, you must email lunch@burlingameschools.org or call 650-259-3814 to let us know that you wish to have a lunch for your child. When emailing or calling please leave the following information: Your name, student’s name(s), school site and any dietary restriction (i.e. vegetarian). You only need to make this call once to receive lunch; however, if there is a day you will not be needing a meal, please let us know. In addition, if meals are not picked-up two days in a row, we will consider you no longer want the meals. Monday's pickup will include food for Tuesday, and Wednesday's pickup will include food for Thursday and Friday. Please contact us by Tuesday, March 17, if you will need a lunch for your child.",1715 Quesada Way,1715 Quesada Way,,,,,,,,Free,Prepared Meals,,4983,,,,,,,,
Franklin Elementary,Burlingame Elementary,4984,,"In order to receive lunch, you must email lunch@burlingameschools.org or call 650-259-3814 to let us know that you wish to have a lunch for your child. When emailing or calling please leave the following information: Your name, student’s name(s), school site and any dietary restriction (i.e. vegetarian). You only need to make this call once to receive lunch; however, if there is a day you will not be needing a meal, please let us know. In addition, if meals are not picked-up two days in a row, we will consider you no longer want the meals. Monday's pickup will include food for Tuesday, and Wednesday's pickup will include food for Thursday and Friday. Please contact us by Tuesday, March 17, if you will need a lunch for your child.",2385 Trousdale Drive,2385 Trousdale Drive,,,,,,,,Free,Prepared Meals,,4984,,,,,,,,
Hoover Elementary,Burlingame Elementary,4985,,"In order to receive lunch, you must email lunch@burlingameschools.org or call 650-259-3814 to let us know that you wish to have a lunch for your child. When emailing or calling please leave the following information: Your name, student’s name(s), school site and any dietary restriction (i.e. vegetarian). You only need to make this call once to receive lunch; however, if there is a day you will not be needing a meal, please let us know. In addition, if meals are not picked-up two days in a row, we will consider you no longer want the meals. Monday's pickup will include food for Tuesday, and Wednesday's pickup will include food for Thursday and Friday. Please contact us by Tuesday, March 17, if you will need a lunch for your child.",2220 Summit Dr,2220 Summit Dr,,,,,,,,Free,Prepared Meals,,4985,,,,,,,,
Lincoln Elementary,Burlingame Elementary,4986,,"In order to receive lunch, you must email lunch@burlingameschools.org or call 650-259-3814 to let us know that you wish to have a lunch for your child. When emailing or calling please leave the following information: Your name, student’s name(s), school site and any dietary restriction (i.e. vegetarian). You only need to make this call once to receive lunch; however, if there is a day you will not be needing a meal, please let us know. In addition, if meals are not picked-up two days in a row, we will consider you no longer want the meals. Monday's pickup will include food for Tuesday, and Wednesday's pickup will include food for Thursday and Friday. Please contact us by Tuesday, March 17, if you will need a lunch for your child.",1801 Devereux Drive,1801 Devereux Drive,,,,,,,,Free,Prepared Meals,,,,,,,,,,
McKinley Elementary,Burlingame Elementary,4987,,"In order to receive lunch, you must email lunch@burlingameschools.org or call 650-259-3814 to let us know that you wish to have a lunch for your child. When emailing or calling please leave the following information: Your name, student’s name(s), school site and any dietary restriction (i.e. vegetarian). You only need to make this call once to receive lunch; however, if there is a day you will not be needing a meal, please let us know. In addition, if meals are not picked-up two days in a row, we will consider you no longer want the meals. Monday's pickup will include food for Tuesday, and Wednesday's pickup will include food for Thursday and Friday. Please contact us by Tuesday, March 17, if you will need a lunch for your child.",701 Paloma Avenue,701 Paloma Avenue,,,,,,,,Free,Prepared Meals,,,,,,,,,,
Roosevelt Elementary,Burlingame Elementary,4988,,"In order to receive lunch, you must email lunch@burlingameschools.org or call 650-259-3814 to let us know that you wish to have a lunch for your child. When emailing or calling please leave the following information: Your name, student’s name(s), school site and any dietary restriction (i.e. vegetarian). You only need to make this call once to receive lunch; however, if there is a day you will not be needing a meal, please let us know. In addition, if meals are not picked-up two days in a row, we will consider you no longer want the meals. Please contact us by Tuesday, March 17, if you will need a lunch for your child.",1151 Vancouver Ave,1151 Vancouver Ave,,,,,,,,Free,Prepared Meals,,,,,,,,,,
Washington Elementary,Burlingame Elementary,4989,,"In order to receive lunch, you must email lunch@burlingameschools.org or call 650-259-3814 to let us know that you wish to have a lunch for your child. When emailing or calling please leave the following information: Your name, student’s name(s), school site and any dietary restriction (i.e. vegetarian). You only need to make this call once to receive lunch; however, if there is a day you will not be needing a meal, please let us know. In addition, if meals are not picked-up two days in a row, we will consider you no longer want the meals. Monday's pickup will include food for Tuesday, and Wednesday's pickup will include food for Thursday and Friday.  Please contact us by Tuesday, March 17, if you will need a lunch for your child.",801 Howard Avenue,801 Howard Avenue,,,,,,,,Free,Prepared Meals,,,,,,,,,,
La Granada Elementary,Cabrillo Unified,4990,,"Also on Thursdays, there will be weekly grocery supplements provided by Second Harvest at the Ted Adcock Center from 3:00 to 5:00 PM.",400 Santiago Street,400 Santiago Street,,,,,,,,Free,Prepared Meals,,4990,,,,,,,,
Hatch Elementary,Cabrillo Unified,4991,,"Also on Thursdays, there will be weekly grocery supplements provided by Second Harvest at the Ted Adcock Center from 3:00 to 5:00 PM.",490 Miramontes Ave,490 Miramontes Ave,,,,,,,,Free,Prepared Meals,,4991,,,,,,,,
Moon Ridge Apartments,Cabrillo Unified,4992,,"Also on Thursdays, there will be weekly grocery supplements provided by Second Harvest at the Ted Adcock Center from 3:00 to 5:00 PM.",2001 Miramontes Point Rd,2001 Miramontes Point Rd,,,,,,,,Free,Prepared Meals,,"49,924,993",,,,,,,,
Moon Ridge Apartments,Cabrillo Unified,4993,,"Also on Thursdays, there will be weekly grocery supplements provided by Second Harvest at the Ted Adcock Center from 3:00 to 5:00 PM.",164 Culebra Ln.,164 Culebra Ln.,,,,,,,,Free,Prepared Meals,,,,,,,,,,
Ben Franklin School,Jefferson Elementary,4994,,"BREAKFAST & LUNCH from 10am-12pm and SUPPER from 12pm-1pm
All meals are for any child 18 years and younger",700 Stewart Ave.,700 Stewart Ave.,,,,,,,,Free,Prepared Meals,,4994,,,,,,,,
Susan B. Anthony Elementary School,Jefferson Elementary,4995,,"BREAKFAST & LUNCH from 10am-12pm and SUPPER from 12pm-1pm
All meals are for any child 18 years and younger",575 Abbot Ave.,575 Abbot Ave.,,,,,,,,Free,Prepared Meals,,4995,,,,,,,,
Daniel Webster Elementary,Jefferson Elementary,4996,,"BREAKFAST & LUNCH from 10am-12pm and SUPPER from 12pm-1pm
All meals are for any child 18 years and younger",425 El Dorado Dr.,425 El Dorado Dr.,,,,,,,,Free,Prepared Meals,,4996,,,,,,,,
Thomas R. Pollicita MS,Jefferson Elementary,4997,,"BREAKFAST & LUNCH from 10am-12pm and SUPPER from 12pm-1pm
All meals are for any child 18 years and younger",550 East Market St.,550 East Market St.,,,,,,,,Free,Prepared Meals,,4997,,,,,,,,
Woodrow Wilson,Jefferson Elementary,4998,,"BREAKFAST & LUNCH from 10am-12pm and SUPPER from 12pm-1pm
All meals are for any child 18 years and younger",43 Miriam St.,43 Miriam St.,,,,,,,,Free,Prepared Meals,,4998,,,,,,,,
Jefferson High School,Jefferson Union High,4999,,Drive or walk through pick up. At Jefferson-circle drive front of campus. Families picking up meals for children under 18 enter from Bruno Ave,6996 Mission Street,6996 Mission Street,,,,,,,,Free,Prepared Meals,,4999,,,,,,,,
