,attributes.OBJECTID,attributes.FACILITYID,attributes.INTID,attributes.SITESCHOOLDISTRICT,attributes.SITENAME,attributes.SITEADDRESS,attributes.OPENDAYS,attributes.OPENTIMES,attributes.OPENDATES,attributes.MEALTYPES,attributes.SITETYPE,attributes.SITESTATUS,attributes.DESCRIPTION,attributes.PHONENUMBER,attributes.EMAIL,attributes.WEBLINK,attributes.CITYNAME,attributes.CITYCOUNCILDISTRICT,attributes.LASTUPDATE,attributes.LASTEDITOR,attributes.NOTES,attributes.ENTERPRISEID,attributes.DESCRIPTIONLONG,geometry.x,geometry.y
40,41,41,41,Evergreen,Chaboya,"3276 Cortona Drive, San Jose",Monday through Friday,11 a.m. to 1:00 p.m.,March 30th though closure,Lunch and Breakfast,School,Closed,The school meal distribution program provides food for low-income families whose children depend on the lunch or breakfast they get from the cafeteria.,,,https://www.eesd.org/cf_news/view.cfm?newsid=7127,San Jose,8,1588782426000,FME,*updated 5.4.20 at 4:12 p.m.,EOC-FCMS-0000000041,"Walk or drive curb side service. Children must be present. Served cold for families to heat at home. For more information, please call Child Nutrition Services at (408) 223-4500",-13554460.41,4482662.164
41,42,42,42,Evergreen,Dove Hill,"1460 Colt Way, San Jose",Monday through Friday,11 a.m. to 1:00 p.m.,March 30th though closure,Lunch and Breakfast,School,Closed,The school meal distribution program provides food for low-income families whose children depend on the lunch or breakfast they get from the cafeteria.,,,https://www.eesd.org/cf_news/view.cfm?newsid=7127,San Jose,7,1588782426000,FME,*updated 5.4.20 at 4:12 p.m.,EOC-FCMS-0000000042,"Walk or drive curb side service. Children must be present. Served cold for families to heat at home. For more information, please call Child Nutrition Services at (408) 223-4500",-13559825.17,4481120.19
42,43,43,43,Evergreen,Evergreen Elementary School,"3010 Fowler Road, San Jose","Monday through Friday


de lunes a viernes",11:00 a.m. to 12:30 p.m.,March 30th until further notice,Lunch,School,Open,The school meal distribution program provides food for low-income families whose children depend on the lunch or breakfast they get from the cafeteria.,,,https://www.eesd.org/cf_news/view.cfm?newsid=7127,San Jose,8,1588782425000,FME,*updated 5.4.20 at 4:12 p.m.,EOC-FCMS-0000000043,"In effort to minimize close contact and large gatherings, simply walk or drive up to the front of the school for service. A typical lunch will include an entrée,fruit or fruitjuice, vegetable, whole  grain snack and milk. A vegetarian choice will not always be available. Entrees will be served cold for families to heat in the convenience of their own home. Children and teens must be present to receive a meal. Please do not attend if anyone in your party is sick or having any respiratory symptoms. For more information, please call Child Nutrition Servicesat (408) 223-4500.",-13556411.19,4482425.083
43,44,44,44,Evergreen,Holly Oak Elementary School,"2995 Rossmore Way, San Jose","Monday through Friday


de lunes a viernes",11:00 a.m. to 12:30 p.m.,March 30th until further notice,Lunch,School,Open,The school meal distribution program provides food for low-income families whose children depend on the lunch or breakfast they get from the cafeteria.,,,https://www.eesd.org/cf_news/view.cfm?newsid=7127,San Jose,8,1588782425000,FME,*updated 5.4.20 at 4:12 p.m.,EOC-FCMS-0000000044,"In effort to minimize close contact and large gatherings, simply walk or drive up to the front of the school for service. A typical lunch will include an entrée,fruit or fruitjuice, vegetable, whole  grain snack and milk. A vegetarian choice will not always be available. Entrees will be served cold for families to heat in the convenience of their own home. Children and teens must be present to receive a meal. Please do not attend if anyone in your party is sick or having any respiratory symptoms. For more information, please call Child Nutrition Servicesat (408) 223-4500.",-13558525.28,4483739.877
44,45,45,45,Evergreen,Laurelwood,"4280 Partridge Drive, San Jose",Monday through Friday,11 a.m. to 1:00 p.m.,March 30th though closure,Lunch and Breakfast,School,Closed,The school meal distribution program provides food for low-income families whose children depend on the lunch or breakfast they get from the cafeteria.,,,https://www.eesd.org/cf_news/view.cfm?newsid=7127,San Jose,8,1588782426000,FME,*updated 5.4.20 at 4:12 p.m.,EOC-FCMS-0000000045,"Walk or drive curb side service. Children must be present. Served cold for families to heat at home. For more information, please call Child Nutrition Services at (408) 223-4500",-13556442.62,4481331.184
45,46,46,46,Evergreen,Levya,"1865 Monrovia Drive, San Jose",Monday through Friday,11 a.m. to 1:00 p.m.,March 30th though closure,Lunch and Breakfast,School,Closed,The school meal distribution program provides food for low-income families whose children depend on the lunch or breakfast they get from the cafeteria.,,,https://www.eesd.org/cf_news/view.cfm?newsid=7127,San Jose,8,1588782426000,FME,*updated 5.4.20 at 4:12 p.m.,EOC-FCMS-0000000046,"Walk or drive curb side service. Children must be present. Served cold for families to heat at home. For more information, please call Child Nutrition Services at (408) 223-4500",-13560089,4483112.141
46,47,47,47,Evergreen,Matsumoto,"4121 Mackin Woods Lane, San Jose",Monday through Friday,11 a.m. to 1:00 p.m.,March 30th though closure,Lunch and Breakfast,School,Closed,The school meal distribution program provides food for low-income families whose children depend on the lunch or breakfast they get from the cafeteria.,,,https://www.eesd.org/cf_news/view.cfm?newsid=7127,San Jose,8,1588782426000,FME,*updated 5.4.20 at 4:12 p.m.,EOC-FCMS-0000000047,"Walk or drive curb side service. Children must be present. Served cold for families to heat at home. For more information, please call Child Nutrition Services at (408) 223-4500",-13554859.77,4482666.489
47,48,48,48,Evergreen,Millbrook,"3200 Millbrook Dr., San Jose",Monday through Friday,11 a.m. to 1:00 p.m.,March 30th though closure,Lunch and Breakfast,School,Closed,The school meal distribution program provides food for low-income families whose children depend on the lunch or breakfast they get from the cafeteria.,,,https://www.eesd.org/cf_news/view.cfm?newsid=7127,San Jose,8,1588782426000,FME,*updated 5.4.20 at 4:12 p.m.,EOC-FCMS-0000000048,"Walk or drive curb side service. Children must be present. Served cold for families to heat at home. For more information, please call Child Nutrition Services at (408) 223-4500",-13557354.64,4483732.965
48,49,49,49,Evergreen,Montegomery Elementary School,"2010 Daniel Maloney Dr, San Jose","Monday through Friday


de lunes a viernes",11:00 a.m. to 12:30 p.m.,March 30th until further notice,Lunch,School,Open,The school meal distribution program provides food for low-income families whose children depend on the lunch or breakfast they get from the cafeteria.,,,https://www.eesd.org/cf_news/view.cfm?newsid=7127,San Jose,8,1588782425000,FME,*updated 5.4.20 at 4:12 p.m.,EOC-FCMS-0000000049,"In effort to minimize close contact and large gatherings, simply walk or drive up to the front of the school for service. A typical lunch will include an entrée,fruit or fruitjuice, vegetable, whole  grain snack and milk. A vegetarian choice will not always be available. Entrees will be served cold for families to heat in the convenience of their own home. Children and teens must be present to receive a meal. Please do not attend if anyone in your party is sick or having any respiratory symptoms. For more information, please call Child Nutrition Servicesat (408) 223-4500.",-13558849.19,4481930.35
49,50,50,50,Evergreen,Norwood Elementary School,"3241 Remington Way, San Jose","Monday through Friday


de lunes a viernes",11:00 a.m. to 12:30 p.m.,March 30th until further notice,Lunch,School,Open,The school meal distribution program provides food for low-income families whose children depend on the lunch or breakfast they get from the cafeteria.,,,https://www.eesd.org/cf_news/view.cfm?newsid=7127,San Jose,8,1588782425000,FME,*updated 5.4.20 at 4:12 p.m.,EOC-FCMS-0000000050,"In effort to minimize close contact and large gatherings, simply walk or drive up to the front of the school for service. A typical lunch will include an entrée,fruit or fruitjuice, vegetable, whole  grain snack and milk. A vegetarian choice will not always be available. Entrees will be served cold for families to heat in the convenience of their own home. Children and teens must be present to receive a meal. Please do not attend if anyone in your party is sick or having any respiratory symptoms. For more information, please call Child Nutrition Servicesat (408) 223-4500.",-13557559.44,4484947.102
50,51,51,51,Evergreen,Quimby,"3190 Quimby Road, San Jose",Monday through Friday,11 a.m. to 1:00 p.m.,March 30th though closure,Lunch and Breakfast,School,Closed,The school meal distribution program provides food for low-income families whose children depend on the lunch or breakfast they get from the cafeteria.,,,https://www.eesd.org/cf_news/view.cfm?newsid=7127,San Jose,8,1588782426000,FME,*updated 5.4.20 at 4:12 p.m.,EOC-FCMS-0000000051,"Walk or drive curb side service. Children must be present. Served cold for families to heat at home. For more information, please call Child Nutrition Services at (408) 223-4500",-13557132.11,4484431.112
51,52,52,52,Evergreen,Silver Oak,"5000 Farnsworth Drive, San Jose",Monday through Friday,11 a.m. to 1:00 p.m.,March 30th though closure,Lunch and Breakfast,School,Closed,The school meal distribution program provides food for low-income families whose children depend on the lunch or breakfast they get from the cafeteria.,,,https://www.eesd.org/cf_news/view.cfm?newsid=7127,San Jose,8,1588782426000,FME,*updated 5.4.20 at 4:12 p.m.,EOC-FCMS-0000000052,"Walk or drive curb side service. Children must be present. Served cold for families to heat at home. For more information, please call Child Nutrition Services at (408) 223-4500",-13554287.3,4478202.72
52,53,53,53,Evergreen,J.F. Smith,"2220 Woodbury Ln, San Jose",Monday through Friday,11 a.m. to 1:00 p.m.,March 30th though closure,Lunch and Breakfast,School,Closed,The school meal distribution program provides food for low-income families whose children depend on the lunch or breakfast they get from the cafeteria.,,,https://www.eesd.org/cf_news/view.cfm?newsid=7127,San Jose,8,1588782426000,FME,*updated 5.4.20 at 4:12 p.m.,EOC-FCMS-0000000053,"Walk or drive curb side service. Children must be present. Served cold for families to heat at home. For more information, please call Child Nutrition Services at (408) 223-4500",-13557279.79,4480531.44
53,54,54,54,Evergreen,Katherine Smith Elementary School,"2025 Clarice Drive, San Jose","Monday through Friday


de lunes a viernes",11:00 a.m. to 12:30 p.m.,March 30th until further notice,Lunch,School,Open,The school meal distribution program provides food for low-income families whose children depend on the lunch or breakfast they get from the cafeteria.,,,https://www.eesd.org/cf_news/view.cfm?newsid=7127,San Jose,8,1588782425000,FME,*updated 5.4.20 at 4:12 p.m.,EOC-FCMS-0000000054,"In effort to minimize close contact and large gatherings, simply walk or drive up to the front of the school for service. A typical lunch will include an entrée,fruit or fruitjuice, vegetable, whole  grain snack and milk. A vegetarian choice will not always be available. Entrees will be served cold for families to heat in the convenience of their own home. Children and teens must be present to receive a meal. Please do not attend if anyone in your party is sick or having any respiratory symptoms. For more information, please call Child Nutrition Servicesat (408) 223-4500.",-13561158.4,4484709.325
54,55,55,55,Evergreen,O.B. Whaley Elementary School,"2655 Alvin Avenue, San Jose","Monday through Friday


de lunes a viernes",11:00 a.m. to 12:30 p.m.,March 30th until further notice,Lunch,School,Open,The school meal distribution program provides food for low-income families whose children depend on the lunch or breakfast they get from the cafeteria.,,,https://www.eesd.org/cf_news/view.cfm?newsid=7127,San Jose,7,1588782425000,FME,*updated 5.4.20 at 4:12 p.m.,EOC-FCMS-0000000055,"In effort to minimize close contact and large gatherings, simply walk or drive up to the front of the school for service. A typical lunch will include an entrée,fruit or fruitjuice, vegetable, whole  grain snack and milk. A vegetarian choice will not always be available. Entrees will be served cold for families to heat in the convenience of their own home. Children and teens must be present to receive a meal. Please do not attend if anyone in your party is sick or having any respiratory symptoms. For more information, please call Child Nutrition Servicesat (408) 223-4500.",-13561442.81,4483234.139
55,56,56,56,Franklin-McKinley,Dahl Elementary School,3200 Water Street San Jose,"Monday, Wednesday, Friday 

Lunes, miércoles, viernes",11:00 a.m. to 1:00 p.m.,March 16th until further notice,Lunch and Breakfast,School,Open,The school meal distribution program provides food for low-income families whose children depend on the lunch or breakfast they get from the cafeteria.,,,https://www.fmsd.org/apps/news/article/1184552,San Jose,7,1588782425000,FME,*updated 5.4.20 at 4:12 p.m.,EOC-FCMS-0000000056,"As of April 27, 2020, families will be able to pick up meals Mondays, Wednesdays, and Fridays at the locations below, 11:00am to 1:00pm. On Mondays and Wednesdays, individuals will receive an additional breakfast and lunch for the days we will not be open for Grab-N-Go meals. *Friday, May 8th Santee will be providing meals for the weekend for children and adults.",-13563101.78,4479361.845
56,57,57,57,Franklin-McKinley,Franklin,420 Tully Road,Monday through Friday,11:00 a.m. to 1:00 p.m.,March 16th though closure,Lunch and Breakfast,School,Closed,The school meal distribution program provides food for low-income families whose children depend on the lunch or breakfast they get from the cafeteria.,,,https://www.fmsd.org/apps/news/,San Jose,7,1588782426000,FME,*updated 5.4.20 at 4:12 p.m.,EOC-FCMS-0000000057,Starting March 30th meals will be served Monday-Friday,-13564495.64,4481666.61
57,58,58,58,Franklin-McKinley,Hellyer Elementary School,725 Hellyer Avenue,"Monday, Wednesday, Friday 

Lunes, miércoles, viernes",11:00 a.m. to 1:00 p.m.,March 16th until further notice,Lunch and Breakfast,School,Open,The school meal distribution program provides food for low-income families whose children depend on the lunch or breakfast they get from the cafeteria.,,,https://www.fmsd.org/apps/news/article/1184552,San Jose,2,1588782425000,FME,*updated 5.4.20 at 4:12 p.m.,EOC-FCMS-0000000058,"As of April 27, 2020, families will be able to pick up meals Mondays, Wednesdays, and Fridays at the locations below, 11:00am to 1:00pm. On Mondays and Wednesdays, individuals will receive an additional breakfast and lunch for the days we will not be open for Grab-N-Go meals. *Friday, May 8th Santee will be providing meals for the weekend for children and adults.",-13560927.74,4478921.164
58,59,59,59,Franklin-McKinley,Kennedy,1602 Lucretia Avenue,Monday through Friday,11:00 a.m. to 1:00 p.m.,March 16th though closure,Lunch and Breakfast,School,Closed,The school meal distribution program provides food for low-income families whose children depend on the lunch or breakfast they get from the cafeteria.,,,https://www.fmsd.org/apps/news/,San Jose,7,1588782426000,FME,*updated 5.4.20 at 4:12 p.m.,EOC-FCMS-0000000059,Starting March 30th meals will be served Monday-Friday,-13564425.01,4484578.826
59,60,60,60,Franklin-McKinley,Larion Lairon College Preparatory,3975 Mira Loma Way,"Monday, Wednesday, Friday 

Lunes, miércoles, viernes",11:00 a.m. to 1:00 p.m.,March 16th until further notice,Lunch and Breakfast,School,Open,The school meal distribution program provides food for low-income families whose children depend on the lunch or breakfast they get from the cafeteria.,,,https://www.fmsd.org/apps/news/article/1184552,San Jose,7,1588782425000,FME,*updated 5.4.20 at 4:12 p.m.,EOC-FCMS-0000000060,"As of April 27, 2020, families will be able to pick up meals Mondays, Wednesdays, and Fridays at the locations below, 11:00am to 1:00pm. On Mondays and Wednesdays, individuals will receive an additional breakfast and lunch for the days we will not be open for Grab-N-Go meals. *Friday, May 8th Santee will be providing meals for the weekend for children and adults.",-13562000.37,4478469.911
60,61,61,61,Franklin-McKinley,Los Arboles,455 Los Arboles St.,Monday through Friday,11:00 a.m. to 1:00 p.m.,March 16th though closure,Lunch and Breakfast,School,Closed,The school meal distribution program provides food for low-income families whose children depend on the lunch or breakfast they get from the cafeteria.,,,https://www.fmsd.org/apps/news/,San Jose,7,1588782426000,FME,*updated 5.4.20 at 4:12 p.m.,EOC-FCMS-0000000061,Starting March 30th meals will be served Monday-Friday,-13562197.35,4478992.282
61,62,62,62,Franklin-McKinley,Mckinley,651 Macredes Avenue,Monday through Friday,11:00 a.m. to 1:00 p.m.,March 16th until further notice,Lunch and Breakfast,School,Closed,The school meal distribution program provides food for low-income families whose children depend on the lunch or breakfast they get from the cafeteria.,,,https://www.fmsd.org/apps/news/article/1184552,San Jose,3,1588782426000,FME,*updated 5.4.20 at 4:12 p.m.,EOC-FCMS-0000000062,Families will be able to pick up meals daily Monday through Friday. Meals will be provided for children 18 and younger.,-13565567.83,4486264.551
62,63,63,63,Franklin-McKinley,Meadows,1250 Taper Lane,Monday through Friday,11:00 a.m. to 1:00 p.m.,March 16th though closure,Lunch and Breakfast,School,Closed,The school meal distribution program provides food for low-income families whose children depend on the lunch or breakfast they get from the cafeteria.,,,https://www.fmsd.org/apps/news/,San Jose,7,1588782426000,FME,*updated 5.4.20 at 4:12 p.m.,EOC-FCMS-0000000063,Starting March 30th meals will be served Monday-Friday,-13563119.71,4483959.563
63,64,64,64,Franklin-McKinley,Ramblewood,1351 Lightland Road,Monday through Friday,11:00 a.m. to 1:00 p.m.,March 16th though closure,Lunch and Breakfast,School,Closed,The school meal distribution program provides food for low-income families whose children depend on the lunch or breakfast they get from the cafeteria.,,,https://www.fmsd.org/apps/news/,San Jose,7,1588782426000,FME,*updated 5.4.20 at 4:12 p.m.,EOC-FCMS-0000000064,Starting March 30th meals will be served Monday-Friday,-13559996.59,4480429.47
64,65,65,65,Franklin-McKinley,Santee Elementary School,1313 Audubon Drive,"Monday, Wednesday, Friday 

Lunes, miércoles, viernes",11:00 a.m. to 1:00 p.m.,March 16th until further notice,Lunch and Breakfast,School,Open,The school meal distribution program provides food for low-income families whose children depend on the lunch or breakfast they get from the cafeteria.,,,https://www.fmsd.org/apps/news/article/1184552,San Jose,7,1588782425000,FME,*updated 5.4.20 at 4:12 p.m.,EOC-FCMS-0000000065,"As of April 27, 2020, families will be able to pick up meals Mondays, Wednesdays, and Fridays at the locations below, 11:00am to 1:00pm. On Mondays and Wednesdays, individuals will receive an additional breakfast and lunch for the days we will not be open for Grab-N-Go meals. *Friday, May 8th Santee will be providing meals for the weekend for children and adults.",-13563993.83,4485042.26
65,66,66,66,Franklin-McKinley,Shirakawa Sr School,665 Wool Creek Drive,"Monday, Wednesday, Friday 

Lunes, miércoles, viernes",11:00 a.m. to 1:00 p.m.,March 16th until further notice,Lunch and Breakfast,School,Open,The school meal distribution program provides food for low-income families whose children depend on the lunch or breakfast they get from the cafeteria.,,,https://www.fmsd.org/apps/news/article/1184552,San Jose,7,1588782425000,FME,*updated 5.4.20 at 4:12 p.m.,EOC-FCMS-0000000066,"As of April 27, 2020, families will be able to pick up meals Mondays, Wednesdays, and Fridays at the locations below, 11:00am to 1:00pm. On Mondays and Wednesdays, individuals will receive an additional breakfast and lunch for the days we will not be open for Grab-N-Go meals. *Friday, May 8th Santee will be providing meals for the weekend for children and adults.",-13564189.35,4483096.59
66,67,67,67,Franklin-McKinley,Stonegate School,2605 Gassman Dr.,"Monday, Wednesday, Friday 

Lunes, miércoles, viernes",11:00 a.m. to 1:00 p.m.,March 16th until further notice,Lunch and Breakfast,School,Open,The school meal distribution program provides food for low-income families whose children depend on the lunch or breakfast they get from the cafeteria.,,,https://www.fmsd.org/apps/news/article/1184552,San Jose,7,1588782425000,FME,*updated 5.4.20 at 4:12 p.m.,EOC-FCMS-0000000067,"As of April 27, 2020, families will be able to pick up meals Mondays, Wednesdays, and Fridays at the locations below, 11:00am to 1:00pm. On Mondays and Wednesdays, individuals will receive an additional breakfast and lunch for the days we will not be open for Grab-N-Go meals. *Friday, May 8th Santee will be providing meals for the weekend for children and adults.",-13562888.86,4482247.797
67,68,68,68,Franklin-McKinley,Windmill Springs School,2880 Aetna Way,"Monday, Wednesday, Friday 

Lunes, miércoles, viernes",11:00 a.m. to 1:00 p.m.,March 16th until further notice,Lunch and Breakfast,School,Open,The school meal distribution program provides food for low-income families whose children depend on the lunch or breakfast they get from the cafeteria.,,,https://www.fmsd.org/apps/news/article/1184552,San Jose,7,1588782425000,FME,*updated 5.4.20 at 4:12 p.m.,EOC-FCMS-0000000068,"As of April 27, 2020, families will be able to pick up meals Mondays, Wednesdays, and Fridays at the locations below, 11:00am to 1:00pm. On Mondays and Wednesdays, individuals will receive an additional breakfast and lunch for the days we will not be open for Grab-N-Go meals. *Friday, May 8th Santee will be providing meals for the weekend for children and adults.",-13561420.29,4481895.683
68,69,69,69,Franklin-McKinley,Bridges,1702 McLaughlin Ave,Monday through Friday,11:00 a.m. to 1:00 p.m.,March 16th though closure,Lunch and Breakfast,School,Closed,The school meal distribution program provides food for low-income families whose children depend on the lunch or breakfast they get from the cafeteria.,,,https://www.fmsd.org/apps/news/,San Jose,7,1588782426000,FME,*updated 5.4.20 at 4:12 p.m.,EOC-FCMS-0000000069,Starting March 30th meals will be served Monday-Friday,-13563872.47,4484651.425
69,70,70,70,Franklin-McKinley,College Connection,1855 Lucretia Ave.,Monday through Friday,11:00 a.m. to 1:00 p.m.,March 16th though closure,Lunch and Breakfast,School,Closed,The school meal distribution program provides food for low-income families whose children depend on the lunch or breakfast they get from the cafeteria.,,,https://www.fmsd.org/apps/news/,San Jose,7,1588782426000,FME,*updated 5.4.20 at 4:12 p.m.,EOC-FCMS-0000000070,Starting March 30th meals will be served Monday-Friday,-13564257.2,4483984.409
70,71,71,71,Franklin-McKinley,Sylvandale,653 Sylvandale Ave,Monday through Friday,11:00 a.m. to 1:00 p.m.,March 16th though closure,Lunch and Breakfast,School,Closed,The school meal distribution program provides food for low-income families whose children depend on the lunch or breakfast they get from the cafeteria.,,,https://www.fmsd.org/apps/news/,San Jose,7,1588782426000,FME,*updated 5.4.20 at 4:12 p.m.,EOC-FCMS-0000000071,Starting March 30th meals will be served Monday-Friday,-13561470.05,4479356.962
71,72,72,72,Fremont Union HSD,Fremont High,575 W. Fremont Ave. Sunnyvale,"Monday, Wednesday, Friday 

Lunes, miércoles, viernes",10:30 a.m. to 12:00 p.m.,"On-going during closure. 


En curso hasta el cierre de la escuela",Lunch and Breakfast,School,Open,The school meal distribution program provides food for low-income families whose children depend on the lunch or breakfast they get from the cafeteria.,,,https://www.fuhsd.org/departments/food-services,Sunnyvale,0,1588782425000,FME,*updated 5.4.20 at 4:12 p.m.,EOC-FCMS-0000000072,"Due to demand, the District will be closing the Lynbrook and Monta Vista locations The other 4 locations will continue to be open (Fremont, Homestead, Cupertino and Fair Oaks Park) Meals will be served  3 days a week - Monday, Wednesday and Friday This will reduce the number of trips required to receive and distribute meals Each day (M-W-F) we will provide 2 days' worth of meals Don't forget to bring a bag to help you carry all the meals - the second meal provided on Fridays is for the weekend We will be open every week, even during Spring Break!",-13584875.5,4488372.195
72,73,73,73,Fremont Union HSD,Cupertino High,"10100 Finch Ave, Cupertino","Monday, Wednesday, Friday 

Lunes, miércoles, viernes",10:30 a.m. to 12:00 p.m.,"On-going during closure. 


En curso hasta el cierre de la escuela",Lunch and Breakfast,School,Open,The school meal distribution program provides food for low-income families whose children depend on the lunch or breakfast they get from the cafeteria.,,,https://www.fuhsd.org/departments/food-services,Cupertino,0,1588782425000,FME,*updated 5.4.20 at 4:12 p.m.,EOC-FCMS-0000000073,"Due to demand, the District will be closing the Lynbrook and Monta Vista locations The other 4 locations will continue to be open (Fremont, Homestead, Cupertino and Fair Oaks Park) Meals will be served  3 days a week - Monday, Wednesday and Friday This will reduce the number of trips required to receive and distribute meals Each day (M-W-F) we will provide 2 days' worth of meals Don't forget to bring a bag to help you carry all the meals - the second meal provided on Fridays is for the weekend We will be open every week, even during Spring Break!",-13582066.11,4483794.133
73,74,74,74,Fremont Union HSD,Monta Vista,"21840 McClellan Rd, Cupertino",Monday through Friday,10:30 a.m. to 12:30 p.m.,March 16th though April 3rd,Lunch and Breakfast,School,Closed,The school meal distribution program provides food for low-income families whose children depend on the lunch or breakfast they get from the cafeteria.,,,https://www.fuhsd.org/departments/food-services,Cupertino,0,1588782426000,FME,*updated 5.4.20 at 4:12 p.m.,EOC-FCMS-0000000074,Curb side or walk in,-13587293.93,4483080.744
74,75,75,75,Fremont Union HSD,Lynbrook,"1280 Johnson Ave, Cupertino",Monday through Friday,10:30 a.m. to 12:30 p.m.,March 16th though April 3rd,Lunch and Breakfast,School,Closed,The school meal distribution program provides food for low-income families whose children depend on the lunch or breakfast they get from the cafeteria.,,,https://www.fuhsd.org/departments/food-services,San Jose,1,1588782426000,FME,*updated 5.4.20 at 4:12 p.m.,EOC-FCMS-0000000075,Curb side or walk in,-13581365.5,4480965.021
75,76,76,76,Fremont Union HSD,Fair Oaks Park,"540 N Fair Oaks Ave, Sunnyvale","Monday, Wednesday, Friday 

Lunes, miércoles, viernes",10:30 a.m. to 12:00 p.m.,"On-going during closure. 


En curso hasta el cierre de la escuela",Lunch and Breakfast,School,Open,The school meal distribution program provides food for low-income families whose children depend on the lunch or breakfast they get from the cafeteria.,,,https://www.fuhsd.org/departments/food-services,Sunnyvale,0,1588782425000,FME,*updated 5.4.20 at 4:12 p.m.,EOC-FCMS-0000000076,"Due to demand, the District will be closing the Lynbrook and Monta Vista locations The other 4 locations will continue to be open (Fremont, Homestead, Cupertino and Fair Oaks Park) Meals will be served  3 days a week - Monday, Wednesday and Friday This will reduce the number of trips required to receive and distribute meals Each day (M-W-F) we will provide 2 days' worth of meals Don't forget to bring a bag to help you carry all the meals - the second meal provided on Fridays is for the weekend We will be open every week, even during Spring Break!",-13582725.15,4492926.417
76,77,77,77,Gilroy,Solorsano Middle,7121 Grenache Way Gilroy,"Monday, Wednesday, Friday


Lunes Miércoles Viernes

**Meals for weekends will be distributed on Fridays.",10:00 a.m. -1:00 p.m.,Through June 5th,Lunch and Breakfast,School,Open,The school meal distribution program provides food for low-income families whose children depend on the lunch or breakfast they get from the cafeteria.,,,https://resources.finalsite.net/images/v1584146218/gusdk12caus/bfcq7hrb7p3yekhsrzgi/Mealsavailable_combined.pdf,Gilroy,0,1588782425000,FME,*updated 5.4.20 at 4:12 p.m.,EOC-FCMS-0000000077,"Monday meal bags will contain meals through Wednesday morning. Wednesday meal bags will contain meals through Friday morning. Friday meal bags will contain meals through the following Monday morning. As always, adults may pick up as many meals as are needed for the children in their home. Children don't need to be present for adults to receive food.  . For information or if you have questions, please contact the Child Nutrition Department at Gilroy Unified School District:  (669) 205-4000, ext. 4044",-13535781.46,4439111.755
77,78,78,78,Gilroy,South Valley Middle,385 I.O.O.F Avenue,"Monday, Wednesday, Friday


Lunes Miércoles Viernes

**Meals for weekends will be distributed on Fridays.",10:00 a.m. -1:00 p.m.,Through June 5th,Lunch and Breakfast,School,Open,The school meal distribution program provides food for low-income families whose children depend on the lunch or breakfast they get from the cafeteria.,,,https://resources.finalsite.net/images/v1584146218/gusdk12caus/bfcq7hrb7p3yekhsrzgi/Mealsavailable_combined.pdf,Gilroy,0,1588782425000,FME,*updated 5.4.20 at 4:12 p.m.,EOC-FCMS-0000000078,"Monday meal bags will contain meals through Wednesday morning. Wednesday meal bags will contain meals through Friday morning. Friday meal bags will contain meals through the following Monday morning. As always, adults may pick up as many meals as are needed for the children in their home. Children don't need to be present for adults to receive food.  . For information or if you have questions, please contact the Child Nutrition Department at Gilroy Unified School District:  (669) 205-4000, ext. 4044",-13532731.11,4441192.132
78,79,79,79,Gilroy,ADB Elementary,9300 Wren Avenue,"Monday through Friday


de lunes a viernes

**Meals for weekends will be distributed on Fridays.",10:00 a.m. -1:00 p.m.,Through June 5th,Lunch and Breakfast,School,Closed,The school meal distribution program provides food for low-income families whose children depend on the lunch or breakfast they get from the cafeteria.,,,https://resources.finalsite.net/images/v1584146218/gusdk12caus/bfcq7hrb7p3yekhsrzgi/Mealsavailable_combined.pdf,Gilroy,0,1588782426000,FME,*updated 5.4.20 at 4:12 p.m.,EOC-FCMS-0000000079,"Lunch and breakfast for the next day will be  available for pick-up at the sites listed.  Children do not need to be present and 1  family member may pick up all meals for all  children in the household.**Meals for weekends will be distributed on Fridays. For information or if you have questions, please contact the Child Nutrition Department at Gilroy Unified School District:  (669) 205-4000, ext. 4044",-13534999.25,4443384.875
79,80,80,80,Gilroy,Eliot Elementary,475 Old Gilroy Street,"Monday, Wednesday, Friday


Lunes Miércoles Viernes

**Meals for weekends will be distributed on Fridays.",10:00 a.m. -1:00 p.m.,Through June 5th,Lunch and Breakfast,School,Open,The school meal distribution program provides food for low-income families whose children depend on the lunch or breakfast they get from the cafeteria.,,,https://resources.finalsite.net/images/v1584146218/gusdk12caus/bfcq7hrb7p3yekhsrzgi/Mealsavailable_combined.pdf,Gilroy,0,1588782425000,FME,*updated 5.4.20 at 4:12 p.m.,EOC-FCMS-0000000080,"Monday meal bags will contain meals through Wednesday morning. Wednesday meal bags will contain meals through Friday morning. Friday meal bags will contain meals through the following Monday morning. As always, adults may pick up as many meals as are needed for the children in their home. Children don't need to be present for adults to receive food.  . For information or if you have questions, please contact the Child Nutrition Department at Gilroy Unified School District:  (669) 205-4000, ext. 4044",-13532159.04,4440038.386
